filename,num_alpha_dihedrals,alpha_dihedral_score,num_beta_dihedrals,beta_dihedral_score,ranking_score,cluster_single,cluster_size_single,cluster_average,cluster_size_average,cluster_maximum,cluster_size_maximum,cluster_pairs_min,cluster_size_pairs_min,cluster_pairs_abs,cluster_size_pairs_abs
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_10_hMIN.pdb,17,7.6,0,0,0.44705882352941173,2,139,3,14,6,13,6,6,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_10_hMIN.pdb,17,7.6,0,0,0.44705882352941173,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_43_7_hMIN.pdb,17,7.4,0,0,0.43529411764705883,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_37_5_hMIN.pdb,17,7.4,0,0,0.43529411764705883,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_4_hMIN.pdb,17,7.3999999999999995,0,0,0.4352941176470588,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_5_hMIN.pdb,17,7.199999999999999,0,0,0.4235294117647058,3,10,6,10,3,10,0,12,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_9_hMIN.pdb,17,7.000000000000001,0,0,0.411764705882353,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_1_hMIN.pdb,17,7.000000000000001,0,0,0.411764705882353,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_8_hMIN.pdb,17,7.000000000000001,0,0,0.411764705882353,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_1_hMIN.pdb,17,7.000000000000001,0,0,0.411764705882353,2,139,2,73,1,74,1,63,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_41_5_hMIN.pdb,17,7.0,0,0,0.4117647058823529,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_5_hMIN.pdb,17,7.0,0,0,0.4117647058823529,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_8_hMIN.pdb,17,6.800000000000001,0,0,0.4,2,139,4,3,2,15,0,12,0,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_17_8_hMIN.pdb,17,6.800000000000001,0,0,0.4,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_21_2_hMIN.pdb,17,6.800000000000001,0,0,0.4,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_25_4_hMIN.pdb,17,6.6,0,0,0.388235294117647,2,139,2,73,1,74,3,11,3,14
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_33_7_hMIN.pdb,17,6.4,0,0,0.3764705882352941,2,139,7,3,5,6,0,12,7,5
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_39_6_hMIN.pdb,17,6.4,0,0,0.3764705882352941,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_4_hMIN.pdb,17,6.4,0,0,0.3764705882352941,2,139,2,73,1,74,4,10,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_4_hMIN.pdb,17,6.2,0,0,0.3647058823529412,3,10,6,10,3,10,5,8,6,8
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_23_10_hMIN.pdb,17,6.2,0,0,0.3647058823529412,2,139,2,73,1,74,1,63,4,11
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_29_9_hMIN.pdb,17,6.2,0,0,0.3647058823529412,2,139,3,14,6,13,4,10,5,10
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_35_8_hMIN.pdb,17,6.200000000000001,0,0,0.3647058823529412,2,139,5,46,4,32,2,35,2,38
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_19_5_hMIN.pdb,17,6.199999999999999,0,0,0.36470588235294116,2,139,2,73,1,74,1,63,1,50
6686e20403ab44a8b2840d4d616c9124/TARGET_b0.35/fold/TARGET_b0.35_significant_ECs_0.9_10_hMIN.pdb,17,6.000000000000001,0,0,0.3529411764705883,3,10,6,10,3,10,0,12,0,14
